iter	Passed	Remaining
0	111	111353
1	117	58621
2	123	41103
3	129	32137
4	135	26984
5	141	23485
6	147	20942
7	153	19032
8	159	17608
9	166	16472
10	172	15525
11	178	14715
12	184	14001
13	190	13423
14	197	12950
15	202	12473
16	208	12048
17	213	11668
18	219	11343
19	226	11076
20	231	10809
21	237	10573
22	243	10334
23	248	10116
24	254	9929
25	260	9754
26	266	9598
27	271	9436
28	277	9289
29	283	9162
30	289	9047
31	295	8935
32	301	8828
33	307	8723
34	312	8625
35	318	8538
36	324	8451
37	329	8352
38	335	8268
39	341	8193
40	347	8127
41	353	8066
42	359	8004
43	365	7940
44	371	7883
45	377	7820
46	382	7764
47	388	7712
48	394	7664
49	401	7620
50	407	7579
51	412	7528
52	418	7485
53	425	7448
54	431	7414
55	437	7382
56	443	7338
57	449	7301
58	455	7264
59	461	7227
60	467	7191
61	473	7156
62	478	7121
63	485	7101
64	491	7072
65	497	7042
66	503	7014
67	511	7003
68	517	6976
69	523	6955
70	529	6922
71	534	6893
72	540	6867
73	547	6850
74	553	6830
75	560	6811
76	566	6795
77	573	6774
78	579	6754
79	586	6740
80	592	6722
81	599	6705
82	605	6690
83	611	6669
84	617	6648
85	623	6629
86	629	6608
87	635	6590
88	641	6567
89	648	6560
90	654	6542
91	661	6526
92	667	6514
93	674	6500
94	680	6485
95	686	6468
96	692	6447
97	698	6432
98	704	6415
99	710	6394
100	716	6377
101	722	6359
102	728	6342
103	734	6324
104	740	6308
105	746	6296
106	753	6286
107	759	6273
108	765	6259
109	772	6248
110	778	6238
111	785	6226
112	791	6212
113	797	6197
114	803	6180
115	808	6162
116	814	6143
117	819	6126
118	826	6115
119	831	6097
120	837	6083
121	843	6068
122	848	6052
123	854	6037
124	860	6025
125	866	6012
126	872	5998
127	878	5983
128	883	5966
129	889	5954
130	895	5942
131	902	5933
132	908	5920
133	914	5911
134	920	5896
135	926	5883
136	931	5869
137	937	5855
138	943	5841
139	948	5826
140	954	5816
141	961	5808
142	967	5800
143	974	5790
144	980	5779
145	986	5767
146	991	5756
147	997	5742
148	1003	5729
149	1008	5715
150	1014	5705
151	1020	5693
152	1026	5682
153	1032	5671
154	1038	5662
155	1044	5652
156	1051	5645
157	1057	5633
158	1062	5621
159	1069	5615
160	1076	5612
161	1083	5605
162	1090	5597
163	1098	5599
164	1105	5592
165	1111	5583
166	1117	5576
167	1124	5570
168	1131	5562
169	1137	5555
170	1143	5545
171	1153	5552
172	1159	5544
173	1166	5537
174	1172	5529
175	1178	5519
176	1185	5510
177	1190	5499
178	1197	5491
179	1203	5480
180	1208	5469
181	1215	5464
182	1221	5453
183	1227	5445
184	1233	5434
185	1239	5422
186	1245	5415
187	1251	5405
188	1257	5396
189	1263	5386
190	1269	5375
191	1275	5367
192	1291	5401
193	1297	5389
194	1303	5380
195	1309	5369
196	1315	5361
197	1321	5352
198	1327	5342
199	1333	5332
200	1338	5321
201	1344	5312
202	1350	5303
203	1356	5293
204	1362	5282
205	1368	5273
206	1374	5264
207	1380	5257
208	1386	5246
209	1392	5237
210	1398	5228
211	1404	5219
212	1410	5210
213	1416	5202
214	1421	5191
215	1428	5184
216	1434	5175
217	1440	5167
218	1447	5161
219	1453	5153
220	1459	5145
221	1465	5135
222	1470	5124
223	1475	5113
224	1482	5104
225	1487	5095
226	1493	5085
227	1499	5075
228	1504	5066
229	1514	5070
230	1520	5061
231	1526	5053
232	1532	5043
233	1537	5032
234	1542	5022
235	1548	5011
236	1553	5002
237	1559	4993
238	1564	4982
239	1570	4972
240	1576	4963
241	1581	4955
242	1587	4945
243	1593	4936
244	1598	4927
245	1604	4918
246	1609	4907
247	1615	4898
248	1621	4889
249	1626	4880
250	1632	4871
251	1637	4861
252	1643	4851
253	1648	4841
254	1654	4832
255	1659	4822
256	1665	4815
257	1671	4808
258	1677	4798
259	1683	4790
260	1689	4783
261	1695	4774
262	1700	4766
263	1706	4757
264	1712	4748
265	1718	4740
266	1723	4732
267	1729	4724
268	1736	4718
269	1742	4710
270	1747	4702
271	1753	4693
272	1759	4685
273	1765	4677
274	1771	4669
275	1776	4661
276	1783	4654
277	1789	4646
278	1795	4639
279	1800	4630
280	1806	4623
281	1812	4615
282	1818	4607
283	1824	4600
284	1830	4592
285	1836	4584
286	1842	4577
287	1848	4570
288	1854	4563
289	1860	4555
290	1867	4549
291	1872	4540
292	1878	4532
293	1884	4525
294	1891	4519
295	1897	4513
296	1902	4504
297	1908	4496
298	1914	4488
299	1920	4480
300	1926	4473
301	1932	4465
302	1937	4457
303	1943	4450
304	1949	4442
305	1954	4433
306	1961	4427
307	1967	4419
308	1973	4413
309	1978	4404
310	1984	4396
311	1990	4388
312	1996	4381
313	2002	4373
314	2007	4365
315	2012	4356
316	2018	4349
317	2024	4341
318	2029	4332
319	2035	4325
320	2040	4316
321	2046	4308
322	2052	4302
323	2059	4296
324	2065	4289
325	2071	4282
326	2077	4275
327	2083	4268
328	2089	4261
329	2095	4255
330	2102	4250
331	2109	4243
332	2115	4236
333	2121	4230
334	2128	4224
335	2134	4218
336	2141	4212
337	2147	4206
338	2153	4199
339	2159	4192
340	2165	4184
341	2171	4177
342	2177	4171
343	2183	4164
344	2189	4157
345	2195	4149
346	2201	4142
347	2207	4135
348	2212	4127
349	2219	4121
350	2225	4114
351	2231	4108
352	2237	4101
353	2243	4093
354	2249	4086
355	2255	4079
356	2260	4071
357	2266	4064
358	2271	4056
359	2277	4048
360	2283	4041
361	2288	4033
362	2294	4025
363	2300	4018
364	2305	4010
365	2311	4003
366	2316	3996
367	2322	3988
368	2328	3981
369	2334	3974
370	2340	3967
371	2345	3960
372	2351	3953
373	2357	3945
374	2362	3937
375	2368	3930
376	2374	3923
377	2379	3916
378	2385	3908
379	2390	3900
380	2396	3893
381	2401	3885
382	2407	3877
383	2412	3870
384	2418	3864
385	2424	3857
386	2430	3850
387	2435	3842
388	2441	3834
389	2447	3827
390	2452	3820
391	2458	3812
392	2464	3805
393	2469	3798
394	2475	3791
395	2480	3783
396	2486	3776
397	2491	3769
398	2497	3762
399	2503	3754
400	2508	3746
401	2514	3740
402	2519	3732
403	2526	3726
404	2531	3719
405	2537	3712
406	2543	3705
407	2549	3698
408	2555	3692
409	2560	3684
410	2566	3677
411	2572	3670
412	2577	3663
413	2583	3657
414	2589	3650
415	2595	3643
416	2601	3636
417	2606	3629
418	2612	3623
419	2618	3616
420	2624	3609
421	2630	3603
422	2636	3596
423	2641	3588
424	2647	3582
425	2653	3575
426	2659	3568
427	2664	3561
428	2670	3554
429	2676	3548
430	2682	3541
431	2687	3533
432	2692	3526
433	2698	3518
434	2703	3511
435	2709	3505
436	2715	3498
437	2721	3491
438	2727	3485
439	2733	3478
440	2739	3472
441	2745	3466
442	2751	3459
443	2757	3452
444	2763	3446
445	2768	3439
446	2774	3432
447	2780	3425
448	2785	3418
449	2791	3411
450	2797	3404
451	2803	3398
452	2808	3391
453	2814	3385
454	2820	3378
455	2826	3372
456	2833	3366
457	2838	3359
458	2844	3352
459	2850	3346
460	2856	3339
461	2862	3333
462	2868	3326
463	2874	3319
464	2879	3313
465	2885	3307
466	2891	3300
467	2897	3293
468	2903	3286
469	2908	3280
470	2914	3273
471	2920	3267
472	2926	3260
473	2932	3254
474	2938	3247
475	2944	3241
476	2950	3234
477	2956	3228
478	2962	3222
479	2968	3216
480	2974	3209
481	2980	3203
482	2986	3197
483	2992	3190
484	2998	3183
485	3004	3177
486	3010	3170
487	3016	3164
488	3022	3158
489	3028	3152
490	3034	3145
491	3040	3139
492	3046	3132
493	3051	3126
494	3057	3119
495	3064	3113
496	3070	3107
497	3076	3100
498	3081	3094
499	3087	3087
500	3093	3081
501	3099	3075
502	3105	3068
503	3111	3061
504	3116	3054
505	3122	3048
506	3128	3041
507	3133	3034
508	3139	3028
509	3144	3021
510	3150	3014
511	3156	3008
512	3162	3002
513	3168	2995
514	3174	2989
515	3179	2982
516	3185	2976
517	3191	2969
518	3196	2962
519	3202	2956
520	3208	2949
521	3213	2942
522	3218	2935
523	3224	2928
524	3231	2923
525	3237	2917
526	3243	2911
527	3249	2904
528	3254	2897
529	3260	2891
530	3265	2884
531	3271	2878
532	3277	2871
533	3283	2864
534	3288	2858
535	3294	2851
536	3299	2845
537	3305	2838
538	3311	2831
539	3316	2825
540	3322	2818
541	3327	2811
542	3333	2805
543	3339	2799
544	3344	2792
545	3350	2786
546	3356	2779
547	3361	2772
548	3367	2766
549	3372	2759
550	3379	2753
551	3385	2747
552	3391	2741
553	3397	2734
554	3403	2728
555	3409	2722
556	3415	2716
557	3420	2709
558	3426	2703
559	3432	2697
560	3438	2690
561	3444	2684
562	3451	2679
563	3458	2673
564	3464	2667
565	3470	2661
566	3476	2655
567	3483	2649
568	3489	2643
569	3496	2637
570	3502	2631
571	3508	2625
572	3514	2619
573	3520	2613
574	3527	2607
575	3533	2601
576	3539	2595
577	3546	2589
578	3552	2583
579	3558	2576
580	3563	2570
581	3570	2564
582	3576	2558
583	3582	2551
584	3588	2545
585	3595	2539
586	3601	2534
587	3608	2528
588	3615	2522
589	3621	2516
590	3628	2510
591	3634	2504
592	3640	2498
593	3647	2492
594	3653	2486
595	3659	2480
596	3665	2474
597	3671	2468
598	3678	2462
599	3684	2456
600	3690	2450
601	3696	2443
602	3702	2437
603	3708	2431
604	3713	2424
605	3720	2418
606	3726	2412
607	3732	2406
608	3739	2400
609	3745	2394
610	3752	2388
611	3758	2382
612	3764	2376
613	3770	2370
614	3777	2364
